08 июн. 2026 22:13:51,808  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.team, m: executeEventAction, rq: 3] for request #3
08 июн. 2026 22:13:51,809  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.team, m: executeEventAction, rq: 3]
08 июн. 2026 22:13:51,811  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyTable.team, m: executeEventAction, rq: 4] for request #4
08 июн. 2026 22:13:51,821  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.team, m: executeEventAction, rq: 3] finished
08 июн. 2026 22:13:51,821  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.team, m: executeEventAction, rq: 3] for request #3
08 июн. 2026 22:13:51,821  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.team, m: executeEventAction, rq: 4] for request #4
08 июн. 2026 22:13:51,821  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.team, m: executeEventAction, rq: 4]
08 июн. 2026 22:13:52,080  INFO PausableInvocationsLogger - Interaction [f: HockeyTable.team, m: executeEventAction, rq: 4] called delayUserInteraction: MessageClientAction[caption: lsFusion, msg: Изменения были удачно записаны..., type: LOG]
08 июн. 2026 22:13:52,101  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.team, m: executeEventAction, rq: 4] finished
08 июн. 2026 22:13:52,101  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.team, m: executeEventAction, rq: 4] for request #4
08 июн. 2026 22:15:02,928  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyTable.team, m: executeEventAction, rq: 5] for request #5
08 июн. 2026 22:15:02,928  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.team, m: executeEventAction, rq: 5] for request #5
08 июн. 2026 22:15:02,934  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.team, m: executeEventAction, rq: 5]
08 июн. 2026 22:15:02,997  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.team, m: executeEventAction, rq: 5] finished
08 июн. 2026 22:15:02,998  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.team, m: executeEventAction, rq: 5] for request #5
08 июн. 2026 22:15:05,515  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyTable.team, m: executeEventAction, rq: 6] for request #6
08 июн. 2026 22:15:05,516  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.team, m: executeEventAction, rq: 6] for request #6
08 июн. 2026 22:15:05,516  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.team, m: executeEventAction, rq: 6]
08 июн. 2026 22:15:05,529  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.team, m: executeEventAction, rq: 6] finished
08 июн. 2026 22:15:05,529  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.team, m: executeEventAction, rq: 6] for request #6
08 июн. 2026 22:15:07,305  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyTable.team, m: executeEventAction, rq: 7] for request #7
08 июн. 2026 22:15:07,305  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.team, m: executeEventAction, rq: 7] for request #7
08 июн. 2026 22:15:07,305  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.team, m: executeEventAction, rq: 7]
08 июн. 2026 22:15:07,323  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.team, m: executeEventAction, rq: 7] finished
08 июн. 2026 22:15:07,324  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.team, m: executeEventAction, rq: 7] for request #7
08 июн. 2026 22:15:10,177  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyTable.team, m: executeEventAction, rq: 8] for request #8
08 июн. 2026 22:15:10,177  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.team, m: executeEventAction, rq: 8] for request #8
08 июн. 2026 22:15:10,177  INFO PausableInvocationsLogger - Run invocation: [f: HockeyTable.team, m: executeEventAction, rq: 8]
08 июн. 2026 22:15:10,214  INFO PausableInvocationsLogger - Interaction [f: HockeyTable.team, m: executeEventAction, rq: 8] called delayUserInteraction: MessageClientAction[caption: lsFusion, msg: Изменения были удачно записаны..., type: LOG]
08 июн. 2026 22:15:10,225  INFO PausableInvocationsLogger - Invocation [f: HockeyTable.team, m: executeEventAction, rq: 8] finished
08 июн. 2026 22:15:10,225  INFO PausableInvocationsLogger - Releasing request lock for [f: HockeyTable.team, m: executeEventAction, rq: 8] for request #8
08 июн. 2026 22:15:11,272  INFO PausableInvocationsLogger - Acquiring request lock for [f: HockeyTable.team, m: executeEventAction, rq: 9] for request #9
08 июн. 2026 22:15:11,272  INFO PausableInvocationsLogger - Acquired request lock for [f: HockeyTable.team, m: executeEventAction, rq: 9] for request #9
